M1,M2,P1,P2,F
33.0,71.0,89.0,37.0,95.0
75.0,72.0,87.0,55.0,85.0
46.0,70.0,1.0,97.0,4.0
12.0,52.0,81.0,52.0,20.0
97.0,2.0,25.0,84.0,86.0
86.0,89.0,44.0,21.0,71.0
82.0,74.0,32.0,74.0,4.0
19.0,78.0,85.0,6.0,67.0
83.0,4.0,2.0,91.0,73.0
64.0,66.0,2.0,85.0,15.0
61.0,64.0,13.0,72.0,64.0
19.0,45.0,50.0,70.0,39.0
24.0,5.0,26.0,7.0,5.0
89.0,56.0,43.0,89.0,24.0
90.0,33.0,21.0,4.0,87.0
80.0,14.0,62.0,76.0,90.0
23.0,35.0,97.0,48.0,81.0
60.0,68.0,37.0,24.0,20.0
92.0,63.0,73.0,81.0,37.0
68.0,46.0,77.0,3.0,23.0
44.0,73.0,82.0,16.0,33.0
40.0,6.0,51.0,20.0,79.0
3.0,45.0,67.0,59.0,23.0
51.0,73.0,75.0,79.0,3.0
2.0,47.0,67.0,38.0,91.0
62.0,5.0,28.0,83.0,65.0
10.0,12.0,88.0,44.0,35.0
48.0,4.0,98.0,61.0,86.0
56.0,98.0,49.0,47.0,20.0
65.0,39.0,20.0,48.0,84.0
2.0,54.0,65.0,32.0,23.0
40.0,41.0,96.0,43.0,69.0
97.0,43.0,88.0,50.0,24.0
13.0,95.0,73.0,48.0,3.0
79.0,69.0,17.0,82.0,55.0
39.0,36.0,56.0,46.0,74.0
50.0,64.0,21.0,16.0,63.0
95.0,17.0,70.0,24.0,37.0
66.0,44.0,2.0,83.0,18.0
92.0,1.0,21.0,16.0,20.0
31.0,43.0,18.0,46.0,61.0
21.0,20.0,1.0,18.0,4.0
28.0,26.0,96.0,40.0,47.0
93.0,82.0,33.0,36.0,67.0
93.0,46.0,21.0,73.0,27.0
23.0,52.0,4.0,39.0,34.0
83.0,30.0,77.0,66.0,4.0
16.0,33.0,63.0,82.0,12.0
28.0,37.0,79.0,65.0,32.0
10.0,60.0,36.0,9.0,18.0
63.0,51.0,38.0,24.0,17.0
35.0,96.0,41.0,11.0,65.0
68.0,31.0,64.0,90.0,63.0
19.0,32.0,61.0,21.0,12.0
30.0,7.0,10.0,86.0,22.0
53.0,15.0,68.0,75.0,48.0
28.0,27.0,59.0,74.0,68.0
69.0,15.0,95.0,68.0,1.0
43.0,92.0,71.0,20.0,23.0
47.0,72.0,28.0,34.0,4.0
12.0,82.0,30.0,28.0,33.0
2.0,74.0,47.0,58.0,89.0
31.0,67.0,17.0,16.0,73.0
86.0,86.0,5.0,53.0,78.0
95.0,34.0,4.0,1.0,56.0
52.0,36.0,95.0,75.0,5.0
63.0,46.0,43.0,94.0,5.0
28.0,66.0,14.0,34.0,76.0
12.0,8.0,19.0,34.0,21.0
53.0,52.0,4.0,95.0,67.0
58.0,33.0,25.0,54.0,92.0
43.0,84.0,10.0,92.0,50.0
77.0,14.0,14.0,49.0,68.0
16.0,49.0,41.0,65.0,25.0
12.0,29.0,11.0,40.0,22.0
59.0,95.0,83.0,4.0,38.0
14.0,88.0,89.0,85.0,42.0
1.0,51.0,66.0,7.0,67.0
44.0,19.0,95.0,84.0,37.0
40.0,96.0,37.0,40.0,39.0
35.0,54.0,18.0,77.0,22.0
96.0,80.0,40.0,63.0,42.0
57.0,42.0,86.0,31.0,92.0
16.0,14.0,64.0,26.0,4.0
35.0,18.0,88.0,19.0,32.0
3.0,88.0,37.0,75.0,96.0
48.0,29.0,59.0,3.0,68.0
93.0,1.0,75.0,13.0,5.0
67.0,42.0,81.0,75.0,26.0
27.0,25.0,60.0,73.0,35.0
15.0,18.0,25.0,80.0,55.0
68.0,48.0,20.0,90.0,17.0
18.0,20.0,35.0,27.0,36.0
35.0,26.0,26.0,3.0,42.0
77.0,7.0,42.0,57.0,95.0
65.0,46.0,54.0,84.0,9.0
43.0,24.0,12.0,99.0,97.0
52.0,28.0,79.0,25.0,7.0
84.0,79.0,58.0,17.0,66.0
3.0,57.0,79.0,17.0,37.0
75.0,17.0,93.0,55.0,72.0
42.0,74.0,13.0,71.0,38.0
97.0,91.0,4.0,65.0,35.0
79.0,62.0,45.0,38.0,43.0
38.0,55.0,62.0,21.0,23.0
49.0,20.0,73.0,56.0,80.0
94.0,35.0,53.0,14.0,98.0
38.0,33.0,17.0,64.0,94.0
67.0,88.0,52.0,38.0,41.0
60.0,14.0,16.0,9.0,40.0
15.0,80.0,3.0,68.0,54.0
4.0,30.0,8.0,5.0,15.0
11.0,20.0,82.0,61.0,56.0
64.0,77.0,57.0,7.0,2.0
32.0,68.0,54.0,62.0,82.0
10.0,25.0,34.0,49.0,52.0
24.0,43.0,74.0,69.0,70.0
80.0,85.0,49.0,24.0,77.0
98.0,86.0,14.0,45.0,56.0
41.0,43.0,9.0,87.0,20.0
5.0,6.0,41.0,14.0,16.0
42.0,54.0,26.0,78.0,35.0
17.0,46.0,93.0,52.0,53.0
4.0,22.0,69.0,80.0,68.0
59.0,82.0,5.0,40.0,60.0
81.0,82.0,67.0,27.0,9.0
78.0,68.0,81.0,11.0,95.0
82.0,35.0,35.0,25.0,89.0
3.0,9.0,54.0,16.0,97.0
7.0,47.0,82.0,92.0,4.0
70.0,7.0,71.0,77.0,48.0
24.0,92.0,41.0,13.0,31.0
20.0,82.0,79.0,45.0,12.0
41.0,41.0,78.0,97.0,76.0
17.0,22.0,15.0,11.0,55.0
92.0,10.0,43.0,95.0,79.0
89.0,64.0,17.0,49.0,30.0
55.0,93.0,61.0,29.0,18.0
25.0,85.0,49.0,73.0,13.0
2.0,21.0,88.0,15.0,69.0
48.0,89.0,5.0,9.0,97.0
54.0,47.0,76.0,61.0,40.0
84.0,82.0,82.0,61.0,3.0
58.0,97.0,98.0,49.0,1.0
71.0,47.0,39.0,8.0,61.0
78.0,54.0,15.0,65.0,87.0
19.0,20.0,96.0,45.0,40.0
22.0,13.0,47.0,86.0,62.0
73.0,89.0,8.0,96.0,20.0
52.0,99.0,98.0,27.0,69.0
45.0,86.0,28.0,78.0,73.0
78.0,68.0,45.0,33.0,91.0
78.0,29.0,48.0,73.0,10.0
12.0,38.0,53.0,9.0,32.0
16.0,24.0,19.0,70.0,91.0
56.0,50.0,96.0,25.0,73.0
94.0,60.0,37.0,71.0,55.0
21.0,16.0,23.0,46.0,81.0
85.0,49.0,49.0,12.0,70.0
80.0,28.0,18.0,16.0,63.0
27.0,12.0,68.0,53.0,68.0
97.0,3.0,2.0,49.0,13.0
26.0,46.0,25.0,43.0,17.0
23.0,9.0,93.0,19.0,77.0
28.0,91.0,55.0,24.0,87.0
84.0,88.0,81.0,11.0,29.0
96.0,68.0,89.0,55.0,49.0
59.0,29.0,71.0,37.0,48.0
73.0,61.0,30.0,89.0,16.0
22.0,82.0,35.0,52.0,79.0
25.0,91.0,91.0,89.0,82.0
1.0,42.0,70.0,2.0,5.0
39.0,95.0,42.0,23.0,59.0
18.0,72.0,69.0,53.0,65.0
31.0,37.0,2.0,36.0,35.0
70.0,88.0,4.0,27.0,15.0
30.0,46.0,12.0,40.0,18.0
30.0,76.0,32.0,66.0,57.0
82.0,88.0,74.0,28.0,65.0
10.0,67.0,78.0,87.0,92.0
7.0,8.0,73.0,21.0,20.0
12.0,6.0,62.0,8.0,79.0
54.0,54.0,69.0,97.0,94.0
80.0,1.0,12.0,34.0,48.0
83.0,61.0,81.0,34.0,5.0
81.0,3.0,88.0,46.0,13.0
39.0,9.0,9.0,9.0,52.0
4.0,38.0,11.0,7.0,68.0
7.0,28.0,52.0,15.0,29.0
89.0,22.0,22.0,4.0,28.0
62.0,30.0,67.0,72.0,49.0
7.0,41.0,99.0,75.0,61.0
60.0,90.0,64.0,78.0,65.0
40.0,26.0,30.0,27.0,47.0
53.0,38.0,5.0,45.0,34.0
26.0,73.0,75.0,76.0,45.0
63.0,92.0,55.0,36.0,45.0
29.0,83.0,80.0,17.0,3.0
53.0,96.0,41.0,27.0,95.0
99.0,64.0,56.0,54.0,30.0
39.0,81.0,6.0,64.0,15.0
47.0,49.0,28.0,61.0,22.0
76.0,40.0,39.0,78.0,27.0
8.0,8.0,70.0,65.0,91.0
49.0,18.0,69.0,49.0,15.0
92.0,94.0,97.0,77.0,24.0
42.0,92.0,85.0,33.0,28.0
93.0,89.0,77.0,6.0,85.0
58.0,16.0,31.0,6.0,98.0
16.0,12.0,27.0,52.0,52.0
75.0,26.0,84.0,92.0,99.0
91.0,65.0,87.0,62.0,4.0
50.0,7.0,7.0,65.0,43.0
32.0,75.0,85.0,35.0,16.0
19.0,45.0,97.0,49.0,54.0
2.0,21.0,19.0,63.0,93.0
62.0,81.0,73.0,77.0,3.0
4.0,98.0,71.0,95.0,28.0
59.0,72.0,65.0,33.0,27.0
66.0,70.0,41.0,63.0,15.0
45.0,85.0,91.0,61.0,62.0
14.0,74.0,98.0,77.0,48.0
5.0,96.0,88.0,95.0,45.0
23.0,78.0,62.0,27.0,74.0
12.0,46.0,57.0,45.0,69.0
7.0,78.0,69.0,42.0,37.0
96.0,6.0,57.0,42.0,78.0
35.0,82.0,99.0,43.0,22.0
80.0,48.0,64.0,2.0,73.0
50.0,30.0,3.0,29.0,92.0
55.0,88.0,7.0,53.0,31.0
99.0,63.0,78.0,1.0,71.0
76.0,76.0,96.0,39.0,60.0
41.0,57.0,36.0,92.0,30.0
68.0,19.0,2.0,81.0,3.0
51.0,40.0,95.0,43.0,35.0
5.0,21.0,77.0,58.0,87.0
54.0,62.0,93.0,96.0,86.0
83.0,56.0,11.0,29.0,23.0
39.0,79.0,74.0,18.0,34.0
51.0,62.0,3.0,45.0,89.0
11.0,25.0,11.0,55.0,23.0
49.0,45.0,73.0,29.0,3.0
82.0,61.0,26.0,61.0,8.0
77.0,62.0,48.0,65.0,17.0
58.0,71.0,63.0,16.0,4.0
55.0,52.0,83.0,30.0,7.0
16.0,40.0,44.0,47.0,29.0
60.0,47.0,13.0,48.0,87.0
20.0,43.0,39.0,88.0,40.0
45.0,12.0,37.0,11.0,62.0
11.0,40.0,22.0,57.0,23.0
43.0,40.0,98.0,9.0,53.0
78.0,97.0,74.0,25.0,9.0
42.0,96.0,73.0,40.0,9.0
62.0,19.0,17.0,57.0,47.0
55.0,3.0,58.0,13.0,36.0
41.0,70.0,28.0,3.0,70.0
32.0,51.0,28.0,17.0,59.0
24.0,49.0,62.0,88.0,83.0
34.0,76.0,3.0,93.0,3.0
21.0,37.0,81.0,81.0,41.0
52.0,8.0,71.0,97.0,42.0
96.0,92.0,32.0,30.0,77.0
38.0,48.0,72.0,56.0,21.0
61.0,27.0,22.0,39.0,33.0
6.0,59.0,2.0,50.0,58.0
35.0,58.0,64.0,21.0,59.0
10.0,52.0,31.0,95.0,34.0
45.0,7.0,37.0,28.0,82.0
15.0,18.0,96.0,49.0,75.0
6.0,38.0,38.0,49.0,84.0
44.0,35.0,55.0,38.0,2.0
54.0,83.0,8.0,7.0,82.0
14.0,24.0,50.0,63.0,44.0
44.0,75.0,8.0,66.0,90.0
48.0,27.0,50.0,96.0,87.0
45.0,22.0,28.0,69.0,95.0
51.0,35.0,84.0,45.0,11.0
2.0,62.0,67.0,42.0,7.0
26.0,58.0,84.0,65.0,12.0
65.0,63.0,74.0,84.0,69.0
80.0,22.0,18.0,98.0,36.0
98.0,8.0,55.0,1.0,74.0
13.0,74.0,1.0,47.0,42.0
76.0,90.0,89.0,60.0,47.0
82.0,90.0,11.0,33.0,65.0
73.0,81.0,1.0,59.0,31.0
52.0,82.0,45.0,42.0,89.0
38.0,12.0,64.0,30.0,95.0
55.0,21.0,46.0,73.0,28.0
52.0,28.0,90.0,20.0,95.0
32.0,71.0,62.0,68.0,15.0
22.0,24.0,38.0,98.0,81.0
41.0,61.0,17.0,68.0,56.0
19.0,57.0,27.0,35.0,43.0
94.0,36.0,23.0,1.0,24.0
33.0,77.0,80.0,33.0,57.0
9.0,42.0,41.0,65.0,59.0
37.0,9.0,46.0,71.0,30.0
4.0,77.0,45.0,13.0,6.0
97.0,40.0,62.0,41.0,13.0
99.0,93.0,46.0,87.0,80.0
92.0,65.0,87.0,3.0,68.0
88.0,47.0,20.0,26.0,41.0
85.0,96.0,41.0,11.0,89.0
77.0,65.0,20.0,28.0,78.0
37.0,20.0,40.0,30.0,48.0
19.0,55.0,70.0,91.0,4.0
82.0,23.0,3.0,85.0,83.0
32.0,44.0,53.0,48.0,65.0
47.0,9.0,82.0,46.0,44.0
59.0,26.0,16.0,2.0,61.0
99.0,56.0,68.0,56.0,48.0
12.0,71.0,14.0,80.0,11.0
77.0,59.0,25.0,54.0,12.0
9.0,4.0,67.0,96.0,39.0
43.0,41.0,22.0,85.0,1.0
71.0,12.0,26.0,32.0,60.0
25.0,51.0,99.0,43.0,86.0
67.0,75.0,64.0,49.0,93.0
25.0,18.0,35.0,30.0,89.0
44.0,41.0,86.0,8.0,7.0
90.0,46.0,7.0,70.0,39.0
60.0,27.0,39.0,58.0,38.0
57.0,7.0,33.0,73.0,69.0
97.0,54.0,71.0,26.0,64.0
93.0,78.0,90.0,72.0,39.0
93.0,20.0,91.0,46.0,21.0
82.0,1.0,76.0,99.0,56.0
1.0,31.0,97.0,54.0,40.0
69.0,18.0,34.0,27.0,44.0
24.0,40.0,13.0,4.0,19.0
92.0,47.0,41.0,97.0,48.0
7.0,96.0,32.0,43.0,16.0
82.0,80.0,18.0,99.0,82.0
3.0,81.0,10.0,29.0,67.0
46.0,49.0,18.0,69.0,81.0
70.0,31.0,1.0,43.0,54.0
18.0,59.0,73.0,34.0,45.0
6.0,61.0,77.0,96.0,59.0
84.0,33.0,88.0,93.0,8.0
93.0,95.0,15.0,5.0,78.0
76.0,54.0,85.0,69.0,54.0
42.0,3.0,39.0,14.0,42.0
81.0,19.0,28.0,46.0,7.0
72.0,38.0,9.0,49.0,51.0
65.0,21.0,75.0,71.0,69.0
39.0,1.0,20.0,10.0,95.0
18.0,36.0,82.0,11.0,39.0
89.0,4.0,10.0,39.0,16.0
66.0,35.0,82.0,90.0,68.0
11.0,35.0,83.0,65.0,12.0
26.0,57.0,17.0,47.0,31.0
74.0,26.0,7.0,52.0,5.0
79.0,19.0,19.0,99.0,69.0
24.0,81.0,7.0,87.0,89.0
58.0,70.0,99.0,65.0,46.0
85.0,96.0,73.0,51.0,95.0
47.0,82.0,32.0,83.0,98.0
92.0,83.0,27.0,37.0,31.0
4.0,11.0,25.0,89.0,10.0
24.0,61.0,58.0,47.0,36.0
47.0,4.0,22.0,99.0,46.0
84.0,69.0,44.0,79.0,70.0
84.0,78.0,59.0,49.0,83.0
97.0,60.0,22.0,69.0,97.0
69.0,6.0,82.0,45.0,10.0
71.0,53.0,60.0,5.0,46.0
53.0,80.0,5.0,46.0,86.0
81.0,58.0,89.0,42.0,37.0
64.0,53.0,25.0,29.0,23.0
67.0,29.0,39.0,30.0,26.0
35.0,66.0,52.0,87.0,95.0
15.0,17.0,83.0,75.0,58.0
26.0,97.0,16.0,60.0,84.0
71.0,34.0,47.0,29.0,72.0
33.0,12.0,79.0,39.0,11.0
63.0,41.0,50.0,14.0,46.0
13.0,72.0,19.0,52.0,11.0
90.0,55.0,28.0,66.0,86.0
46.0,56.0,93.0,47.0,76.0
20.0,23.0,45.0,2.0,39.0
40.0,89.0,52.0,12.0,10.0
65.0,64.0,96.0,91.0,24.0
61.0,89.0,21.0,49.0,83.0
91.0,54.0,70.0,41.0,48.0
27.0,69.0,43.0,97.0,4.0
9.0,10.0,71.0,72.0,22.0
17.0,54.0,9.0,69.0,7.0
51.0,75.0,58.0,58.0,29.0
44.0,22.0,11.0,36.0,47.0
41.0,21.0,31.0,44.0,46.0
20.0,65.0,16.0,82.0,41.0
65.0,79.0,74.0,44.0,13.0
32.0,53.0,57.0,3.0,41.0
58.0,49.0,70.0,9.0,43.0
38.0,59.0,6.0,7.0,92.0
28.0,41.0,82.0,70.0,62.0
72.0,22.0,60.0,56.0,84.0
